id,count,doc,NumWords
217,1,2,626
218,1,2,626
219,1,2,626
222,1,2,626
225,3,2,626
227,1,2,626
228,1,2,626
239,1,2,626
244,4,2,626
248,1,2,626
249,1,2,626
250,1,2,626
251,6,2,626
253,1,2,626
815,1,2,626
260,1,2,626
263,1,2,626
778,1,2,626
28,1,2,626
273,1,2,626
276,12,2,626
280,1,2,626
281,1,2,626
284,1,2,626
627,1,2,626
287,1,2,626
651,1,2,626
291,5,2,626
292,1,2,626
293,1,2,626
782,2,2,626
883,2,2,626
305,1,2,626
306,1,2,626
313,1,2,626
314,1,2,626
315,1,2,626
318,2,2,626
320,1,2,626
321,1,2,626
322,1,2,626
323,1,2,626
325,1,2,626
330,2,2,626
332,1,2,626
338,2,2,626
1017,4,2,626
344,1,2,626
347,1,2,626
353,1,2,626
359,4,2,626
361,1,2,626
362,1,2,626
364,1,2,626
366,1,2,626
372,1,2,626
373,1,2,626
377,1,2,626
379,1,2,626
380,1,2,626
382,1,2,626
383,1,2,626
386,1,2,626
387,1,2,626
389,1,2,626
390,1,2,626
392,1,2,626
396,3,2,626
399,1,2,626
402,1,2,626
404,1,2,626
65,1,2,626
407,1,2,626
408,1,2,626
409,1,2,626
411,2,2,626
412,1,2,626
414,6,2,626
415,1,2,626
416,1,2,626
417,1,2,626
418,1,2,626
420,1,2,626
421,1,2,626
423,1,2,626
424,2,2,626
426,1,2,626
428,2,2,626
435,2,2,626
437,3,2,626
432,1,2,626
442,1,2,626
443,1,2,626
445,1,2,626
474,1,2,626
449,1,2,626
452,1,2,626
455,1,2,626
458,1,2,626
257,1,2,626
553,10,2,626
463,1,2,626
470,1,2,626
471,1,2,626
448,5,2,626
475,1,2,626
476,1,2,626
479,1,2,626
482,1,2,626
484,1,2,626
159,1,2,626
491,1,2,626
784,2,2,626
790,1,2,626
498,1,2,626
827,1,2,626
505,1,2,626
506,1,2,626
509,1,2,626
510,1,2,626
517,1,2,626
518,2,2,626
523,1,2,626
524,1,2,626
977,1,2,626
529,1,2,626
531,1,2,626
271,1,2,626
1046,2,2,626
537,1,2,626
440,2,2,626
543,2,2,626
547,1,2,626
551,1,2,626
557,1,2,626
560,1,2,626
565,2,2,626
567,2,2,626
572,10,2,626
578,1,2,626
579,1,2,626
585,1,2,626
588,1,2,626
591,1,2,626
605,1,2,626
607,3,2,626
610,1,2,626
613,1,2,626
614,1,2,626
623,1,2,626
285,1,2,626
629,1,2,626
632,2,2,626
635,1,2,626
639,1,2,626
641,2,2,626
643,1,2,626
645,3,2,626
655,1,2,626
658,1,2,626
663,1,2,626
665,1,2,626
666,2,2,626
669,1,2,626
670,1,2,626
671,1,2,626
673,2,2,626
677,1,2,626
680,2,2,626
682,1,2,626
683,1,2,626
684,10,2,626
686,1,2,626
689,1,2,626
692,1,2,626
697,1,2,626
698,1,2,626
699,2,2,626
700,1,2,626
703,1,2,626
704,1,2,626
706,1,2,626
710,2,2,626
712,1,2,626
714,1,2,626
406,3,2,626
720,1,2,626
807,2,2,626
724,1,2,626
848,1,2,626
727,1,2,626
728,1,2,626
729,1,2,626
731,1,2,626
732,1,2,626
734,1,2,626
735,1,2,626
737,1,2,626
739,1,2,626
740,1,2,626
741,3,2,626
300,1,2,626
749,2,2,626
753,2,2,626
755,1,2,626
756,1,2,626
758,1,2,626
760,1,2,626
761,1,2,626
762,1,2,626
763,1,2,626
764,1,2,626
768,4,2,626
771,1,2,626
773,1,2,626
777,2,2,626
117,1,2,626
298,1,2,626
783,1,2,626
234,1,2,626
785,2,2,626
329,1,2,626
788,2,2,626
496,1,2,626
792,1,2,626
797,3,2,626
798,1,2,626
805,1,2,626
806,2,2,626
576,1,2,626
809,1,2,626
813,1,2,626
868,1,2,626
816,4,2,626
819,1,2,626
824,1,2,626
829,1,2,626
830,2,2,626
832,1,2,626
841,4,2,626
845,1,2,626
846,1,2,626
847,1,2,626
725,1,2,626
853,1,2,626
854,1,2,626
856,1,2,626
858,1,2,626
859,1,2,626
803,1,2,626
866,9,2,626
867,1,2,626
730,1,2,626
869,1,2,626
871,4,2,626
872,1,2,626
873,1,2,626
875,1,2,626
877,1,2,626
880,1,2,626
881,1,2,626
886,1,2,626
887,1,2,626
891,1,2,626
894,1,2,626
895,1,2,626
979,1,2,626
901,5,2,626
903,1,2,626
1060,2,2,626
905,1,2,626
906,1,2,626
907,1,2,626
908,1,2,626
918,1,2,626
919,1,2,626
923,2,2,626
926,1,2,626
927,1,2,626
929,1,2,626
932,1,2,626
937,1,2,626
938,1,2,626
944,1,2,626
947,1,2,626
948,8,2,626
950,1,2,626
954,1,2,626
955,1,2,626
959,1,2,626
962,1,2,626
964,1,2,626
966,1,2,626
971,2,2,626
721,1,2,626
972,3,2,626
976,2,2,626
527,1,2,626
385,2,2,626
980,1,2,626
743,1,2,626
986,1,2,626
989,1,2,626
990,2,2,626
992,1,2,626
993,1,2,626
997,1,2,626
998,2,2,626
1000,2,2,626
1001,1,2,626
